# Wavelength (nm)	Counts
# Exptime(ms): 20
683.0606	2189.00
683.5011	2209.00
683.9414	2202.00
684.3817	2210.00
684.8218	2200.00
685.2618	2197.00
685.7017	2188.00
686.1415	2186.00
686.5812	2186.00
687.0208	2178.00
687.4603	2177.00
687.8997	2189.00
688.3389	2188.00
688.7781	2192.00
689.2171	2188.00
689.6560	2182.00
690.0949	2177.00
690.5336	2186.00
690.9722	2189.00
691.4107	2184.00
691.8490	2179.00
692.2873	2189.00
692.7255	2188.00
693.1635	2196.00
693.6015	2191.00
694.0393	2184.00
694.4771	2172.00
694.9147	2184.00
695.3522	2201.00
695.7896	2208.00
696.2269	2192.00
696.6641	2194.00
697.1012	2202.00
697.5381	2205.00
697.9750	2196.00
698.4117	2194.00
698.8484	2189.00
699.2849	2186.00
699.7213	2183.00
700.1576	2178.00
700.5938	2186.00
701.0299	2195.00
701.4659	2201.00
701.9018	2196.00
702.3376	2187.00
702.7732	2199.00
703.2088	2195.00
703.6442	2202.00
704.0796	2202.00
704.5148	2202.00
704.9499	2201.00
705.3849	2197.00
705.8198	2187.00
706.2546	2198.00
706.6892	2203.00
707.1238	2201.00
707.5583	2215.00
707.9926	2224.00
708.4269	2228.00
708.8610	2210.00
709.2950	2210.00
709.7289	2216.00
710.1627	2200.00
710.5964	2196.00
711.0300	2195.00
711.4635	2202.00
711.8969	2190.00
712.3301	2185.00
712.7633	2179.00
713.1963	2187.00
713.6293	2188.00
714.0621	2197.00
714.4948	2199.00
714.9274	2199.00
715.3599	2205.00
715.7923	2206.00
716.2246	2202.00
716.6567	2205.00
717.0888	2213.00
717.5207	2214.00
717.9526	2200.00
718.3843	2206.00
718.8159	2206.00
719.2475	2208.00
719.6789	2207.00
720.1102	2211.00
720.5413	2197.00
720.9724	2193.00
721.4034	2184.00
721.8343	2205.00
722.2650	2204.00
722.6957	2220.00
723.1262	2209.00
723.5566	2204.00
723.9869	2198.00
724.4171	2195.00
724.8472	2190.00
725.2772	2192.00
725.7071	2187.00
726.1369	2176.00
726.5665	2165.00
726.9961	2195.00
727.4255	2200.00
727.8549	2198.00
728.2841	2200.00
728.7132	2193.00
729.1422	2191.00
729.5711	2196.00
729.9999	2191.00
730.4286	2194.00
730.8571	2189.00
731.2856	2204.00
731.7140	2206.00
732.1422	2202.00
732.5703	2194.00
732.9984	2204.00
733.4263	2198.00
733.8541	2205.00
734.2818	2206.00
734.7094	2213.00
735.1369	2212.00
735.5642	2216.00
735.9915	2201.00
736.4186	2204.00
736.8457	2203.00
737.2726	2208.00
737.6994	2207.00
738.1262	2210.00
738.5528	2208.00
738.9793	2202.00
739.4057	2198.00
739.8319	2215.00
740.2581	2207.00
