# Efficiency of Typical StellarNet CCD Detectors with Phosphor
# Coating for UV Enhanced Sensitivity
# Note: Doesn't include contributions from grattings or other optical elements
# Note: The data was extracted from a pdf plot
# Original data source 
# https://www.stellarnet.us/wp-content/uploads/StellarNet-Typical-Detector-Efficiency-Curve.pdf
wavelength,QE
923,0.19806748333544766
926,0.19506238020782374
929,0.19211544573676398
932,0.18863977141020993
935,0.18653618257090931
938,0.18502526811350228
941,0.18373673018935355
944,0.18203553720122168
947,0.18089908158270385
950,0.17930511414672634
953,0.178457219192516
956,0.1767841827953489
959,0.17580598717783436
962,0.17392498176348847
965,0.17229104364360137
968,0.1711833419977129
971,0.1681877797358955
974,0.16492204440452163
977,0.16171679392962646
980,0.15876281152393057
983,0.15524506893883716
986,0.15230346001507522
989,0.14935179789405328
992,0.14545295339825004
995,0.14056259967081242
998,0.1359431447684929
1001,0.13105184938696857
1004,0.127164398055021
1007,0.12337520779089761
1010,0.11955113774155057
1013,0.115873347280953
1016,0.11166052392851444
1019,0.1070647709693413
1022,0.10243230727837283
1025,0.0978225516471054
1028,0.09320737542914936
